"nome_cc"	"x"	"y"	"objectid"	"cod"	"popres18"	"z"	"casos"
"209"	"Santa Maria da Feira"	-35029.7914604	142836.306728	209	"11A0109"	138525	0	481
"210"	"Santa Marta de Penaguião"	29415.0824692	169985.242847	210	"11D1711"	6649	0	3
"211"	"Santarém"	-47945.9644637	-47612.0494891	211	"1851416"	57398	0	123
"212"	"Santiago do Cacém"	-47476.7321226	-185033.58959	212	"1811509"	28725	0	18
"213"	"Santo Tirso"	-24879.9641306	186970.005775	213	"11A1314"	68221	0	393
"214"	"São Brás de Alportel"	22591.3021778	-274438.391428	214	"1500812"	10416	0	3
"215"	"São João da Madeira"	-30105.30817	136348.950963	215	"11A0116"	21761	0	77
"216"	"São João da Pesqueira"	59735.8320714	163303.95229	216	"11D1815"	7154	0	NA
"217"	"São Pedro do Sul"	5510.03484065	120856.141098	217	"16G1816"	15488	0	9
"218"	"Sardoal"	-1604.979	-13507.4198069	218	"16I1417"	3739	0	NA
"219"	"Sátão"	35432.6939143	119786.542513	219	"16G1817"	11602	0	8
"220"	"Seia"	37939.2269203	81268.5968936	220	"16J0912"	22412	0	13
"221"	"Seixal"	-86726.7078171	-116585.386959	221	"1701510"	166835	0	385
"222"	"Sernancelhe"	54210.322875	134438.918346	222	"11D1818"	5384	0	6
"223"	"Serpa"	50786.5237727	-197708.497662	223	"1840213"	14374	0	14
"224"	"Sertã"	4127.76239121	17339.6672341	224	"16I0509"	14682	0	4
"225"	"Sesimbra"	-82846.228975	-124115.187767	225	"1701511"	51559	0	37
"226"	"Setúbal"	-63238.50005	-127394.764873	226	"1701512"	115758	0	105
"227"	"Sever do Vouga"	-20759.2816019	118047.275104	227	"16D0117"	11403	0	43
"228"	"Silves"	-18822.0110458	-279591.505426	228	"1500813"	36174	0	22
"229"	"Sines"	-57154.3322807	-190545.980975	229	"1811513"	13631	0	NA
"230"	"Sintra"	-100799.102645	-98610.8243812	230	"1701111"	388434	0	1173
"231"	"Sobral de Monte Agraço"	-87233.714514	-73383.5544768	231	"16B1112"	10490	0	7
"232"	"Soure"	-40932.7645821	42839.0835295	232	"16E0615"	17277	0	25
"233"	"Sousel"	39275.0979337	-77925.9703175	233	"1861215"	4454	0	NA
"234"	"Tábua"	9326.98572746	77172.7080451	234	"16E0616"	11403	0	35
"235"	"Tabuaço"	47409.8691609	160673.684588	235	"11D1819"	6017	0	NA
"236"	"Tarouca"	29357.4490635	149623.833851	236	"11D1820"	7761	0	NA
"237"	"Tavira"	41547.0536501	-274419.005597	237	"1500814"	24750	0	30
"238"	"Terras de Bouro"	-9177.14775	225447.6354	238	"1120310"	6405	0	10
"239"	"Tomar"	-22768.6848378	-7731.20229325	239	"16I1418"	36902	0	12
"240"	"Tondela"	4059.59267657	94528.720753	240	"16G1821"	26548	0	13
"241"	"Torre de Moncorvo"	89293.0815447	168323.601045	241	"11D0409"	7716	0	23
"242"	"Torres Novas"	-36691.9033801	-18829.9029675	242	"16I1419"	34970	0	20
"243"	"Torres Vedras"	-96649.9023501	-63082.4828705	243	"16B1113"	78220	0	50
"244"	"Trancoso"	65144.9913125	123922.068074	244	"16J0913"	8946	0	20
"245"	"Trofa"	-33544.302225	184485.460294	245	"11A1318"	38317	0	146
"246"	"Vagos"	-46740.2538948	93195.4967359	246	"16D0118"	22685	0	22
"247"	"Vale de Cambra"	-20468.10575	127677.347881	247	"11A0119"	21399	0	155
"248"	"Valença"	-42347.5367816	261088.086846	248	"1111608"	13283	0	12
"249"	"Valongo"	-34903.2809044	171951.730357	249	"11A1315"	96570	0	757
"250"	"Valpaços"	69054.886182	214909.097812	250	"11B1712"	14932	0	6
"251"	"Vendas Novas"	-29939.4987206	-109736.129298	251	"1870712"	11259	0	8
"252"	"Viana do Alentejo"	11642.1179791	-147425.199571	252	"1870713"	5142	0	NA
"253"	"Viana do Castelo"	-56883.234522	226277.271743	253	"1111609"	84636	0	186
"254"	"Vidigueira"	30527.7446589	-160926.879644	254	"1840214"	5498	0	NA
"255"	"Vieira do Minho"	-1468.88349541	216893.420535	255	"1190311"	11898	0	42
"256"	"Vila de Rei"	-1185.78197016	17.9067802355	256	"16I0510"	3321	0	NA
"257"	"Vila do Bispo"	-68224.4951882	-285209.805786	257	"1500815"	5154	0	NA
"258"	"Vila do Conde"	-48911.0545989	185400.74418	258	"11A1316"	79579	0	294
"259"	"Vila Flor"	83739.0957635	179456.307787	259	"11E0410"	6073	0	4
"260"	"Vila Franca de Xira"	-78687.2853318	-84268.0883635	260	"1701114"	141603	0	413
"261"	"Vila Nova da Barquinha"	-25433.6947842	-22230.4630086	261	"16I1420"	7402	0	NA
"262"	"Vila Nova de Cerveira"	-49882.9546247	252988.655015	262	"1111610"	8877	0	9
"263"	"Vila Nova de Famalicão"	-31110.8854361	192270.541779	263	"1190312"	131738	0	400
"264"	"Vila Nova de Foz Côa"	82682.3410439	159697.499018	264	"11D0914"	6541	0	72
"265"	"Vila Nova de Gaia"	-40151.2883374	159891.25409	265	"11A1317"	299938	0	1567
"266"	"Vila Nova de Paiva"	32689.225884	131161.534591	266	"16G1822"	4723	0	NA
"267"	"Vila Nova de Poiares"	-10765.1870425	59589.431299	267	"16E0617"	6929	0	7
"268"	"Vila Pouca de Aguiar"	42002.4219216	203786.328583	268	"11B1713"	12009	0	6
"269"	"Vila Real"	32921.804556	181566.28955	269	"11D1714"	49868	0	154
"270"	"Vila Real de Santo António"	63131.8998981	-275056.167592	270	"1500816"	18888	0	13
"271"	"Vila Velha de Ródão"	38984.5364049	1631.09353466	271	"16H0511"	3167	0	NA
"272"	"Vila Verde"	-25616.1921672	219845.445186	272	"1120313"	46865	0	233
"273"	"Vila Viçosa"	62840.6109	-99256.229488	273	"1870714"	7719	0	NA
"274"	"Vimioso"	134442.388481	213772.296118	274	"11E0411"	4070	0	11
"275"	"Vinhais"	92930.9173661	240028.839372	275	"11E0412"	7847	0	30
"276"	"Viseu"	19004.4552484	110313.18448	276	"16G1823"	96991	0	101
"277"	"Vizela"	-14590.57935	189699.091568	277	"1190314"	23840	0	140
"278"	"Vouzela"	3032.85150318	113799.36001	278	"16G1824"	9661	0	8
